crop_path,source_image,source_label,box,plate_text
data/char_detection/raw_crops/f-1740996695077-806056827_plate0.jpg,data/plate_detection/images/train/f-1740996695077-806056827.jpg,data/plate_detection/labels/train/f-1740996695077-806056827.txt,"92,972,1177,1474",
data/char_detection/raw_crops/f-1741068939064-23764496_plate0.jpg,data/plate_detection/images/train/f-1741068939064-23764496.jpg,data/plate_detection/labels/train/f-1741068939064-23764496.txt,"1867,1172,2765,1685",
data/char_detection/raw_crops/f-1741074325052-572435078_plate0.jpg,data/plate_detection/images/train/f-1741074325052-572435078.jpg,data/plate_detection/labels/train/f-1741074325052-572435078.txt,"467,2068,1713,2372",
data/char_detection/raw_crops/f-1741158758679-556882673_plate0.jpg,data/plate_detection/images/train/f-1741158758679-556882673.jpg,data/plate_detection/labels/train/f-1741158758679-556882673.txt,"1640,1971,1920,2184",
data/char_detection/raw_crops/f-1741162249381-405127338_plate0.jpg,data/plate_detection/images/train/f-1741162249381-405127338.jpg,data/plate_detection/labels/train/f-1741162249381-405127338.txt,"542,2907,982,3207",
data/char_detection/raw_crops/f-1741215672578-647823656_plate0.jpg,data/plate_detection/images/train/f-1741215672578-647823656.jpg,data/plate_detection/labels/train/f-1741215672578-647823656.txt,"751,2326,1416,2674",
data/char_detection/raw_crops/f-1741247276695-453068244_plate0.jpg,data/plate_detection/images/train/f-1741247276695-453068244.jpg,data/plate_detection/labels/train/f-1741247276695-453068244.txt,"1455,1529,2049,1737",
data/char_detection/raw_crops/f-1741250819490-715158215_plate0.jpg,data/plate_detection/images/train/f-1741250819490-715158215.jpg,data/plate_detection/labels/train/f-1741250819490-715158215.txt,"804,838,2591,1814",
data/char_detection/raw_crops/f-1741331698543-599831788_plate0.jpg,data/plate_detection/images/train/f-1741331698543-599831788.jpg,data/plate_detection/labels/train/f-1741331698543-599831788.txt,"201,1331,912,1859",
data/char_detection/raw_crops/f-1741340884259-47788173_plate0.jpg,data/plate_detection/images/train/f-1741340884259-47788173.jpg,data/plate_detection/labels/train/f-1741340884259-47788173.txt,"2415,1972,3139,2188",
data/char_detection/raw_crops/f-1741398662631-988027916_plate0.jpg,data/plate_detection/images/train/f-1741398662631-988027916.jpg,data/plate_detection/labels/train/f-1741398662631-988027916.txt,"1029,2158,1479,2425",
data/char_detection/raw_crops/f-1741416820625-455948715_plate0.jpg,data/plate_detection/images/train/f-1741416820625-455948715.jpg,data/plate_detection/labels/train/f-1741416820625-455948715.txt,"457,2306,1652,2569",
data/char_detection/raw_crops/f-1741416970523-891544689_plate0.jpg,data/plate_detection/images/train/f-1741416970523-891544689.jpg,data/plate_detection/labels/train/f-1741416970523-891544689.txt,"730,2253,1354,2412",
data/char_detection/raw_crops/f-1741468749545-419186751_plate0.jpeg,data/plate_detection/images/train/f-1741468749545-419186751.jpeg,data/plate_detection/labels/train/f-1741468749545-419186751.txt,"114,362,227,408",
data/char_detection/raw_crops/f-1741540413207-180625060_plate0.jpeg,data/plate_detection/images/train/f-1741540413207-180625060.jpeg,data/plate_detection/labels/train/f-1741540413207-180625060.txt,"107,338,265,390",
data/char_detection/raw_crops/f-1741553224204-159657911_plate0.jpg,data/plate_detection/images/train/f-1741553224204-159657911.jpg,data/plate_detection/labels/train/f-1741553224204-159657911.txt,"834,2442,1589,2652",
data/char_detection/raw_crops/f-1741678511019-396444121_plate0.jpg,data/plate_detection/images/train/f-1741678511019-396444121.jpg,data/plate_detection/labels/train/f-1741678511019-396444121.txt,"1807,5588,3010,6300",
data/char_detection/raw_crops/f-1741989528458-695868787_plate0.jpg,data/plate_detection/images/train/f-1741989528458-695868787.jpg,data/plate_detection/labels/train/f-1741989528458-695868787.txt,"815,2479,1586,2668",
data/char_detection/raw_crops/f-1742086036496-151565381_plate0.jpg,data/plate_detection/images/train/f-1742086036496-151565381.jpg,data/plate_detection/labels/train/f-1742086036496-151565381.txt,"600,1900,1223,2064",
data/char_detection/raw_crops/f-1742146855428-760973704_plate0.jpeg,data/plate_detection/images/train/f-1742146855428-760973704.jpeg,data/plate_detection/labels/train/f-1742146855428-760973704.txt,"69,349,237,427",
data/char_detection/raw_crops/f-1742424682308-802006012_plate0.jpg,data/plate_detection/images/train/f-1742424682308-802006012.jpg,data/plate_detection/labels/train/f-1742424682308-802006012.txt,"673,2308,1442,2712",
data/char_detection/raw_crops/f-1742626442644-660987793_plate0.jpeg,data/plate_detection/images/train/f-1742626442644-660987793.jpeg,data/plate_detection/labels/train/f-1742626442644-660987793.txt,"123,354,238,398",
data/char_detection/raw_crops/f-1742699505977-231855686_plate0.jpg,data/plate_detection/images/train/f-1742699505977-231855686.jpg,data/plate_detection/labels/train/f-1742699505977-231855686.txt,"747,2380,1414,2559",
data/char_detection/raw_crops/f-1742754422525-644389192_plate0.jpg,data/plate_detection/images/train/f-1742754422525-644389192.jpg,data/plate_detection/labels/train/f-1742754422525-644389192.txt,"182,558,585,775",
data/char_detection/raw_crops/test_plate0.jpg,data/plate_detection/images/train/test.jpg,data/plate_detection/labels/train/test.txt,"363,602,685,692",
data/char_detection/raw_crops/test1_plate0.jpg,data/plate_detection/images/train/test1.jpg,data/plate_detection/labels/train/test1.txt,"126,264,232,302",
